    3.479793    0.000392        6.71        0.33     0.024211    0.001012    0.138290    9.926768
    
    4.022910    0.000080      119.20        0.88     0.022790    0.000207    0.381140    9.927623
    
    5.694486    0.001334        1.99        0.24     0.029139    0.004576    0.713507    9.922379
    
    6.675734    0.000325       13.52        0.43     0.027658    0.000946    0.463370    9.927305
    
    6.967173    0.002873        0.98        0.32     0.031996    0.010170    0.783654    9.899522
    
    8.055083    0.000411       10.46        0.35     0.029604    0.001234    0.520056    9.927270
    
    8.779854    0.002021        1.50        0.36     0.034362    0.006952    0.725776    9.913727

