Parametros iniciales:
chisq/dof = 4.14351
t0	I	H	eta	bg_left	bg_right
3.478	6.270	0.02000	0.10000	35.648	38.194
4.022	120.810	0.02000	0.10000	54.135	52.789
5.694	1.410	0.02000	0.10000	23.720	23.950
6.674	13.240	0.02000	0.10000	27.356	27.471
6.968	1.200	0.02000	0.10000	25.562	25.025
8.056	10.400	0.02000	0.10000	24.753	24.320
8.778	1.120	0.02000	0.10000	21.195	19.277
Parametros finales:

chisq/dof = 1.94372
t0	sigma	I	sigma	H	sigma		eta	sigma			bg_l	sigma	bg_r	sigma
3.480	0.001	7.134	0.454	0.02367	29170.20120	0.31405	11367322631.08957	33.893	0.322	37.852	1.898
4.023	0.000	119.206	1.244	0.02279	29170.20110	0.38131	11367322610.93585	45.801	2.168	36.366	0.976
5.694	0.002	1.998	0.337	0.02913	29170.20141	0.72307	11367322604.35377	20.799	0.858	22.487	1.118
6.676	0.000	13.524	0.602	0.02766	29170.20133	0.46371	11367322590.06564	25.780	1.106	25.565	2.451
6.967	0.004	0.978	0.449	0.03199	29170.20127	0.78423	11367322625.47746	25.063	2.575	24.146	1.101
8.055	0.001	10.460	0.485	0.02961	29170.20133	0.51985	11367322587.73682	22.426	0.982	22.557	1.202
8.780	0.003	1.499	0.495	0.03436	29170.20140	0.72691	11367322592.53189	20.491	1.319	20.198	2.786
