text_1.dat                                                                      
poles     0  0  1
      phi     theta      int
  -122.500    16.966     0.447
  -117.500    16.966     0.667
  -112.500    16.966     1.054
  -107.500    16.966     2.029
  -102.500    16.966     4.230
   -97.500    16.966     8.357
   -92.500    16.966    14.075
   -87.500    16.966    14.055
   -82.500    16.966     8.377
   -77.500    16.966     4.230
   -72.500    16.966     2.029
   -67.500    16.966     1.054
   -62.500    16.966     0.667
   -57.500    16.966     0.447
   -52.500    16.966     0.307
   -47.500    16.966     0.213
   -42.500    16.966     0.213
   -37.500    16.966     0.307
   -32.500    16.966     0.447
   -27.500    16.966     0.667
   -22.500    16.966     1.054
   -17.500    16.966     2.029
   -12.500    16.966     4.230
    -7.500    16.966     8.359
    -2.500    16.966    14.073
     2.500    16.966    14.055
     7.500    16.966     8.377
    12.500    16.966     4.230
    17.500    16.966     2.029
    22.500    16.966     1.054
    27.500    16.966     0.667
    32.500    16.966     0.447
    37.500    16.966     0.307
    42.500    16.966     0.213
    47.500    16.966     0.213
    52.500    16.966     0.307
    57.500    16.966     0.447
    62.500    16.966     0.667
    67.500    16.966     1.054
    72.500    16.966     2.029
    77.500    16.966     4.230
    82.500    16.966     8.359
    87.500    16.966    14.073
    92.500    16.966    14.075
    97.500    16.966     8.357
   102.500    16.966     4.230
   107.500    16.966     2.029
   112.500    16.966     1.054
   117.500    16.966     0.667
   122.500    16.966     0.447
   127.500    16.966     0.307
   132.500    16.966     0.213
   137.500    16.966     0.213
   142.500    16.966     0.307
   147.500    16.966     0.447
   152.500    16.966     0.667
   157.500    16.966     1.054
   162.500    16.966     2.029
   167.500    16.966     4.230
   172.500    16.966     8.359
   177.500    16.966    14.073
   182.500    16.966    14.055
  -182.500    21.651    12.549
  -177.500    21.651    12.549
  -172.500    21.651     3.468
  -167.500    21.651     0.504
  -162.500    21.651     0.086
  -157.500    21.651     0.007
  -152.500    21.651     0.001
  -147.500    21.651     0.000
  -142.500    21.651     0.000
  -137.500    21.651     0.000
  -132.500    21.651     0.000
  -127.500    21.651     0.000
  -122.500    21.651     0.000
  -117.500    21.651     0.001
  -112.500    21.651     0.007
  -107.500    21.651     0.086
  -102.500    21.651     0.504
   -97.500    21.651     3.468
   -92.500    21.651    12.549
   -87.500    21.651    12.549
   -82.500    21.651     3.468
   -77.500    21.651     0.504
   -72.500    21.651     0.086
   -67.500    21.651     0.007
   -62.500    21.651     0.001
   -57.500    21.651     0.000
   -52.500    21.651     0.000
   -47.500    21.651     0.000
   -42.500    21.651     0.000
