FIT_INI: archivo con las estimaciones de los valores iniciales para el ajuste
Global_H:
0.04400
Global_eta:
0.42000
#theta0    I0    shift_H    shift_eta
3.4790     1.0   0.0000     0.00000
4.0219    64.0   0.0000     0.00000
5.6944    25.0   0.0000     0.00000
6.6767    17.0   0.0000     0.00000
6.9680     1.0   0.0000     0.00000
8.0567     7.0   0.0000     0.00000
8.7827     2.0   0.0000     0.00000
