text_01.dat                                                                     
poles     1  0  0
      phi     theta      int
  -122.500    16.966     1.441
  -117.500    16.966     0.773
  -112.500    16.966     0.768
  -107.500    16.966     0.717
  -102.500    16.966     0.925
   -97.500    16.966     0.955
   -92.500    16.966     0.712
   -87.500    16.966     0.712
   -82.500    16.966     0.955
   -77.500    16.966     0.925
   -72.500    16.966     0.717
   -67.500    16.966     0.768
   -62.500    16.966     0.773
   -57.500    16.966     1.441
   -52.500    16.966     1.297
   -47.500    16.966     1.517
   -42.500    16.966     1.517
   -37.500    16.966     1.297
   -32.500    16.966     1.441
   -27.500    16.966     0.773
   -22.500    16.966     0.768
   -17.500    16.966     0.717
   -12.500    16.966     0.925
    -7.500    16.966     0.955
    -2.500    16.966     0.712
     2.500    16.966     0.712
     7.500    16.966     0.955
    12.500    16.966     0.925
    17.500    16.966     0.717
    22.500    16.966     0.768
    27.500    16.966     0.773
    32.500    16.966     1.441
    37.500    16.966     1.297
    42.500    16.966     1.517
    47.500    16.966     1.517
    52.500    16.966     1.297
    57.500    16.966     1.441
    62.500    16.966     0.773
    67.500    16.966     0.768
    72.500    16.966     0.717
    77.500    16.966     0.925
    82.500    16.966     0.955
    87.500    16.966     0.712
    92.500    16.966     0.712
    97.500    16.966     0.955
   102.500    16.966     0.925
   107.500    16.966     0.717
   112.500    16.966     0.768
   117.500    16.966     0.773
   122.500    16.966     1.441
   127.500    16.966     1.297
   132.500    16.966     1.517
   137.500    16.966     1.517
   142.500    16.966     1.297
   147.500    16.966     1.441
   152.500    16.966     0.773
   157.500    16.966     0.768
   162.500    16.966     0.717
   167.500    16.966     0.925
   172.500    16.966     0.955
   177.500    16.966     0.712
   182.500    16.966     0.712
  -182.500    21.651     0.884
  -177.500    21.651     0.884
  -172.500    21.651     1.607
  -167.500    21.651     1.666
  -162.500    21.651     1.940
  -157.500    21.651     1.149
  -152.500    21.651     0.803
  -147.500    21.651     0.949
  -142.500    21.651     1.311
  -137.500    21.651     1.132
  -132.500    21.651     1.132
  -127.500    21.651     1.311
  -122.500    21.651     0.949
  -117.500    21.651     0.803
  -112.500    21.651     1.149
  -107.500    21.651     1.940
  -102.500    21.651     1.666
   -97.500    21.651     1.607
