  0.8665078      0.3720347       474.8054      3.9580167E+14   1.9999966E-03
  0.8847929      0.3939295       478.9677      3.5714854E+14   1.9999966E-03
  0.8943226      0.3957101       480.9060      3.5607309E+14   1.9999966E-03
  0.7877900      0.4057519       451.7042      3.1617821E+14   1.9999966E-03
  0.9179580      0.1406109       485.0115      2.8619775E+15   1.9999966E-03
  0.9190979      0.1441934       485.1822      2.7234554E+15   1.9999966E-03
  0.9344906      0.2272097       487.2332      1.1073455E+15   1.9999966E-03
  0.7444085      0.1551673       436.4172      2.1005133E+15   1.9999966E-03
  0.9757381      0.3966390       490.1935      3.7256952E+14   1.9999966E-03
  0.9783856      0.4447095       490.2443      2.9684633E+14   1.9999966E-03
